Mercury,Venus,Mars
5.810697032198461,2.6001730711627644,4.900091835874098
5.832778068810779,2.6004807247891675,4.9103665850932146
5.875755270601388,2.6112257658042513,4.9008264609145265
5.930337258537663,2.622308143601739,4.911466176204413
6.004706487414685,2.643198819612327,4.922286054263811
6.089745479082028,2.644844040770646,4.933284909672255
6.185402169624866,2.66608326951729,4.944461548035337
6.299603162104739,2.6874523251585325,4.95581476651418
6.423994084679717,2.709778588741153,4.967343354349486
6.547526250424659,2.732398214023717,4.988436628844753
6.698805863734222,2.7542694131112166,5.010229535660018
6.850087590680866,2.7851391347650836,5.0222106686199455
7.009172561722247,2.828161947272469,5.044333454481374
7.176210699247897,2.85910825258506,5.066616227819116
7.34343924874442,2.8924902765610123,5.098166337027461
7.528113973632439,2.9321834867552194,5.120703076726868
7.703401845937937,2.964456105257759,5.1524072044045575
7.887160452279387,3.015327511233232,5.175190817738029
8.081447890075145,3.0562885989382615,5.207043306906521
8.25620372810652,3.0972568508278417,5.240009541976046
8.452366532516203,3.1481423093627763,5.272001517450465
8.64020833082166,3.1977023000898637,5.304045625746445
8.83056623326047,3.247275781328096,5.346073325348241
9.024040115159064,3.2981509971497665,5.378215317370624
9.20150531163244,3.3477305745833243,5.420332093147062
9.393215636830659,3.3973224751265527,5.462490274590885
9.57146801697629,3.4556186132152957,5.504688910374499
9.755665020899395,3.514000569151918,5.545637925432925
9.946200279503726,3.57246413557925,5.577974542788806
10.115478238817975,3.6310053704173995,5.628854235099715
10.292570135782412,3.688604072003391,5.6711550851656325
10.448564494704524,3.7364287762514623,5.731954291513498
10.61588432491613,3.805220098759072,5.772936860905376
10.783436372511316,3.8624603557836035,5.825195275696773
10.929798717268312,3.9200127550812893,5.874725525503298
11.080622726182856,3.988483421051165,5.925622330186087
11.230538722608102,4.056525606969591,5.966615456018596
11.36827603465011,4.114389383614536,6.02605177541647
11.506454710291958,4.182690521661864,6.086854688589173
11.631766847732118,4.241426646778181,6.136391447748424
11.757299860086924,4.310568407994473,6.1859356608357965
11.862015005891706,4.370102973615152,6.255309744529043
11.982069938036583,4.450044943593267,6.304871132703664
12.087170884867971,4.510709478563212,6.364353855655733
12.181219150807525,4.581844606705906,6.412643760571766
12.267619981072125,4.6438884568861045,6.482075284968543
12.354209808806067,4.7166301529799854,6.540351672502022
12.43481001061134,4.780721702839436,6.598674109243462
12.499619994223822,4.845719760778579,6.668163165370206
12.554983074460914,4.92061987964931,6.7253847473583255
12.622428450975667,4.988236161209692,6.7838410948370536
12.667284634048452,5.066853066746657,6.842338781440158
12.711085712872839,5.126646077115135,6.909739503049301
12.738590973887183,5.195882985595422,6.977248741445298
12.759717865219434,5.269013190342191,7.044863376957711
12.786406844770738,5.33348853940833,7.112580403763462
12.79585089003463,5.4089740247111555,7.170439317085112
12.798535072421373,5.487604213133451,7.238349259327018
12.792079580740577,5.54585430749853,7.30468342914325
12.785042041385706,5.629369414064065,7.372848838813935
12.768907549199344,5.70221886637123,7.440356174270154
12.747960621213105,5.769332717047961,7.508029035639114
12.704239449884437,5.844801108677694,7.5752227690015825
12.664422608236036,5.9082315459027175,7.653241143463337
12.618862864775098,5.979908026048561,7.711446038195431
12.567020331009255,6.056277734714615,7.779286599682518
12.496019366182177,6.121478579559026,7.8569332439572115
12.42800466688036,6.195264320430566,7.925679781570789
12.357592807662826,6.276535668663088,7.993910182132397
12.265284342403154,6.340859563182265,8.06248100772957
12.178751988607043,6.410896973123185,8.131383646096156
12.073827065185254,6.482846596981915,8.200609733428365
11.96930240239589,6.547648432834494,8.280150964807346
11.859080908738248,6.627827698424274,8.35
11.749404240215755,6.701193923473637,8.420148454748288
11.630619072087265,6.763083616221228,8.50071173490785
11.491918899818254,6.8405409142844835,8.561687917694734
11.363318177363514,6.907966415668217,8.643060800434068
11.22223685367583,6.989628030160117,8.705170877128147
11.079842056636007,7.053410522577004,8.787377310665567
10.935227478200899,7.128113354878694,8.85996049652593
10.76666150670671,7.191244676688452,8.934002462502459
10.61256330958737,7.270557062564052,8.997444081515594
10.454109239911357,7.344120097057238,9.07260161144531
10.278934769712277,7.418382573041107,9.147595312430475
10.105543033404984,7.4827601859207,9.223892887496037
9.935642908236991,7.554634339264872,9.299849461147206
9.756254404227064,7.629397092824569,9.367283490959373
9.566530196471446,7.693432263950855,9.446322035586126
9.384433920061456,7.766208856321082,9.524898949595215
9.203151634087098,7.834858007647618,9.595332198522364
9.009245251407025,7.906263339909696,9.666462641525078
8.829496021857645,7.980689193296529,9.7467635654098
8.635392289873112,8.050621094052307,9.820641526906478
8.439721559388081,8.116606433725858,9.893760660133234
8.25556781814552,8.186678203032045,9.96917749867059
8.059832504463104,8.252223942671455,10.045382023596714
7.887673928351755,8.328649350284834,10.120523701864444
7.7023762567145475,8.394200378832995,10.198166501876697
7.509174388706124,8.462860036654275,10.268748706634124
7.341621074394946,8.542815695073845,10.338167148967946
7.1693793315739685,8.59825563704639,10.420259113860848
7.00600456751207,8.670784278253034,10.491201075186767
6.84477172738434,8.7412870905834,10.565192852002276
6.68861719640166,8.810187285182987,10.642480913771939
6.549694649371069,8.87392810428392,10.718255455063572
6.4128386850130585,8.941017839150081,10.794850624255993
6.298507759779295,9.020338131134553,10.862619389447465
6.184407813202489,9.085444402999778,10.94640123510919
6.083165294482799,9.145239198621324,11.01884295196188
6.000074999531256,9.217819698822494,11.089283114791506
5.92663479556485,9.28476709454793,11.166615422767991
5.876495554324873,9.351604140467025,11.241908201012851
5.83191220784401,9.418810965297052,11.318113800452796
